geom,angle,chord,ok,cd_ind,cd_total,span_efficiency,l_over_d,cl,cm,x_np,CLa,Cma,Clp,Cmq,Cnb,elevon_sym.CL,elevon_sym.Cm,elevon_diff.Cl,elevon_diff.Cn,elevon_diff.CY,hinge_moments.elevon_sym,hinge_moments.elevon_diff,seconds_avl
lhs30s2000:04,4.0,24,True,0.0038295,0.010246159946402014,0.7381,16.412002240805364,0.16816,-0.06088,0.235029,3.406236,-1.377868,-0.263795,-3.252819,0.003835,0.011996,-0.006905,-0.002613,0.000112,-0.000633,-0.0004064,-0.0003697,23.908620504000282
lhs30s2000:04,4.0,48,True,0.0038739,0.010292852674006541,0.7371,16.399729535261464,0.1688,-0.0611,0.235,3.406915,-1.377973,-0.263799,-3.253485,0.003856,0.012131,-0.006952,-0.002641,0.000111,-0.000636,-0.0003857,-0.0003482,84.44823756700134
lhs30s2000:05,-2.0,6,True,0.0043194,0.011330795003905894,0.7364,-16.959092449714216,-0.19216,0.13666,0.387006,3.638374,-2.441966,-0.29128,-6.717209,0.003969,0.00811,-0.007508,-0.002195,6.3e-05,-0.000315,-0.0002359,-0.0003481,1.4206342240067897
lhs30s2000:05,-2.0,12,True,0.0044264,0.011404895320745508,0.7221,-16.64109969118015,-0.18979,0.13488,0.386879,3.640447,-2.442558,-0.291405,-6.718365,0.003973,0.008521,-0.007845,-0.002303,5.3e-05,-0.000316,-0.0002014,-0.0002887,6.6810454500009655
lhs30s2000:05,-2.0,24,True,0.0044922,0.011459829729176953,0.7158,-16.50111777128308,-0.1891,0.13428,0.386831,3.641162,-2.442734,-0.291426,-6.718985,0.003971,0.0087,-0.007982,-0.002349,4.3e-05,-0.000311,-0.000183,-0.000272,23.904517984003178
lhs30s2000:05,-2.0,48,True,0.0045206,0.011482333415051685,0.7127,-16.430458268412057,-0.18866,0.13393,0.386791,3.641414,-2.442654,-0.29143,-6.718759,0.003969,0.00879,-0.00805,-0.002373,3.8e-05,-0.000308,-0.0001726,-0.0002614,83.95532150099461
lhs30s2000:05,0.0,6,True,0.0014446,0.007768252804307383,0.2472,-8.344218659317866,-0.06482,0.05115,0.387422,3.655306,-2.455972,-0.291218,-6.729236,0.002344,0.008141,-0.007529,-0.0022,8.8e-05,-0.000385,-0.000308,-0.0003494,1.4105341989998124
lhs30s2000:05,0.0,12,True,0.0015228,0.007834805376577556,0.2248,-7.963184406152225,-0.06239,0.04935,0.387264,3.657078,-2.456158,-0.29128,-6.729731,0.002361,0.008554,-0.007867,-0.002308,8.4e-05,-0.000392,-0.0003035,-0.0002897,6.8242675159999635
lhs30s2000:05,0.0,24,True,0.0015654,0.00787366821710127,0.2168,-7.832435695735237,-0.06167,0.04875,0.387201,3.657785,-2.456232,-0.291284,-6.730197,0.002362,0.008735,-0.008004,-0.002355,7.7e-05,-0.00039,-0.0002878,-0.000273,24.148755340000207
lhs30s2000:05,0.0,48,True,0.0015843,0.00789030816796022,0.2125,-7.758885799745184,-0.06122,0.0484,0.387155,3.658054,-2.456124,-0.291284,-6.729958,0.002362,0.008826,-0.008071,-0.002378,7.3e-05,-0.000388,-0.0002789,-0.0002624,83.46899409700563
lhs30s2000:05,2.0,6,True,0.0012973,0.007396453389594604,0.2485,8.501371763994369,0.06288,-0.03467,0.387485,3.659628,-2.459276,-0.290021,-6.73575,0.002346,0.008149,-0.007535,-0.002201,0.000107,-0.000453,-0.0003796,-0.0003499,1.422380804993736
lhs30s2000:05,2.0,12,True,0.0014328,0.007537224871448915,0.254,8.672953389996659,0.06537,-0.03646,0.387321,3.660839,-2.459045,-0.290008,-6.735561,0.002378,0.008562,-0.007872,-0.002309,0.000109,-0.000466,-0.0004052,-0.0002901,6.729307029003394
lhs30s2000:05,2.0,24,True,0.0014947,0.007600935142143834,0.2537,8.697614012445548,0.06611,-0.03707,0.387256,3.661408,-2.459013,-0.289992,-6.735864,0.002382,0.008744,-0.008009,-0.002356,0.000105,-0.000467,-0.0003922,-0.0002734,24.135496621995117
