geom,angle,span,ok,cd_ind,cd_total,span_efficiency,l_over_d,cl,cm,x_np,CLa,Cma,Clp,Cmq,Cnb,elevon_sym.CL,elevon_sym.Cm,elevon_diff.Cl,elevon_diff.Cn,elevon_diff.CY,hinge_moments.elevon_sym,hinge_moments.elevon_diff,seconds_avl
lhs30s2000:04,0.0,2,True,0.0017734,0.008133510249118108,0.2877,-8.772350167965456,-0.07135,0.03604,0.23484,3.410026,-1.378295,-0.267962,-3.251128,0.00178,0.011667,-0.006763,-0.002548,2.3e-05,-0.00039,-0.0001774,-0.0003933,6.932066646993917
lhs30s2000:04,0.0,4,True,0.0017642,0.008130334411380849,0.2888,-8.774546825544864,-0.07134,0.03603,0.234728,3.400112,-1.373632,-0.26598,-3.243403,0.00177,0.011661,-0.006763,-0.002543,2.3e-05,-0.000391,-0.0001755,-0.0003924,23.70295457100292
lhs30s2000:04,0.0,8,True,0.0017598,0.008136496411156617,0.2897,-8.770359672518563,-0.07136,0.03605,0.234673,3.395093,-1.37128,-0.264982,-3.239562,0.001759,0.011657,-0.006762,-0.002541,2.3e-05,-0.000392,-0.0001744,-0.000392,83.03629471200111
lhs30s2000:04,2.0,1,True,0.0013531,0.007556069479645647,0.1715,6.392212264605209,0.0483,-0.01238,0.235272,3.433395,-1.390291,-0.270401,-3.268429,0.00221,0.011707,-0.006776,-0.00256,7e-05,-0.000509,-0.0003004,-0.0003962,1.2853267440004856
lhs30s2000:04,2.0,2,True,0.0013413,0.007514605253027238,0.1697,6.358284752316425,0.04778,-0.01214,0.235064,3.413788,-1.381131,-0.266521,-3.252977,0.002206,0.011689,-0.006772,-0.00255,7e-05,-0.000509,-0.0002958,-0.0003941,6.775165971004753
lhs30s2000:04,2.0,4,True,0.0013324,0.007514376577790992,0.1686,6.314562426940403,0.04745,-0.01198,0.234952,3.404017,-1.376519,-0.26455,-3.245339,0.002201,0.011683,-0.006772,-0.002545,7e-05,-0.00051,-0.0002935,-0.0003932,23.17374784799904
lhs30s2000:04,2.0,8,True,0.0013271,0.007520155666746617,0.168,6.284444377791146,0.04726,-0.01189,0.234895,3.399149,-1.37422,-0.263559,-3.241588,0.002195,0.011679,-0.006771,-0.002543,7e-05,-0.00051,-0.0002921,-0.0003928,83.30081347099622
lhs30s2000:04,4.0,1,True,0.0037503,0.0101750530013988,0.7482,16.51391889328737,0.16803,-0.06087,0.235296,3.424386,-1.386788,-0.267635,-3.266899,0.003789,0.011692,-0.00677,-0.002556,0.000111,-0.000628,-0.000419,-0.000396,1.2819775589960045
lhs30s2000:04,4.0,2,True,0.0037298,0.010141406721312172,0.742,16.450380562038465,0.16683,-0.06031,0.235088,3.404954,-1.377699,-0.263788,-3.251529,0.003796,0.011675,-0.006767,-0.002546,0.000111,-0.000627,-0.0004135,-0.000394,6.796258019996458
lhs30s2000:04,4.0,4,True,0.0037158,0.010134701803141431,0.7391,16.395154315097436,0.16616,-0.05999,0.234975,3.395355,-1.373154,-0.261838,-3.243982,0.0038,0.011669,-0.006766,-0.002541,0.000111,-0.000627,-0.0004106,-0.0003931,23.460840934996668
lhs30s2000:04,4.0,8,True,0.0037075,0.010136822969573673,0.7377,16.356209484732975,0.1658,-0.05982,0.234918,3.39065,-1.370919,-0.260858,-3.240323,0.003798,0.011665,-0.006765,-0.002539,0.000111,-0.000628,-0.0004091,-0.0003926,83.40716867200535
lhs30s2000:05,-2.0,1,True,0.004462,0.011510294159369558,0.7325,-16.60339843221413,-0.19111,0.13601,0.387377,3.667288,-2.463733,-0.294304,-6.767605,0.004014,0.008596,-0.007914,-0.002334,5.4e-05,-0.000323,-0.0002036,-0.0002937,1.33858073400188
lhs30s2000:05,-2.0,2,True,0.0044264,0.011404895320745508,0.7221,-16.64109969118015,-0.18979,0.13488,0.386879,3.640447,-2.442558,-0.291405,-6.718365,0.003973,0.008521,-0.007845,-0.002303,5.3e-05,-0.000316,-0.0002014,-0.0002887,6.6810454500009655
lhs30s2000:05,-2.0,4,True,0.0043988,0.011376515403709916,0.7171,-16.623719415729653,-0.18912,0.13429,0.38656,3.62669,-2.431324,-0.289879,-6.692068,0.003948,0.008485,-0.007812,-0.002288,5.3e-05,-0.000312,-0.0002002,-0.0002861,23.35151932900044
lhs30s2000:05,-2.0,8,True,0.0043856,0.01133819053244566,0.7146,-16.648159109677994,-0.18876,0.13397,0.386376,3.619586,-2.425405,-0.289076,-6.678254,0.00393,0.00847,-0.007797,-0.002281,5.3e-05,-0.000311,-0.0001997,-0.0002848,83.1140935450021
lhs30s2000:05,0.0,1,True,0.0015352,0.007909358575238121,0.2267,-7.9361681990894235,-0.06277,0.04974,0.387758,3.683924,-2.477344,-0.294154,-6.77881,0.002386,0.008629,-0.007936,-0.002339,8.5e-05,-0.0004,-0.0003076,-0.0002948,1.2795354920017417
lhs30s2000:05,0.0,2,True,0.0015228,0.007834805376577556,0.2248,-7.963184406152225,-0.06239,0.04935,0.387264,3.657078,-2.456158,-0.29128,-6.729731,0.002361,0.008554,-0.007867,-0.002308,8.4e-05,-0.000392,-0.0003035,-0.0002897,6.8242675159999635
lhs30s2000:05,0.0,4,True,0.0015131,0.007829696447693636,0.2242,-7.942836662373939,-0.06219,0.04915,0.386951,3.643399,-2.444997,-0.289777,-6.703693,0.002344,0.008518,-0.007833,-0.002293,8.4e-05,-0.000388,-0.0003015,-0.0002872,23.537873726003454
lhs30s2000:05,0.0,8,True,0.0015086,0.007804880822581536,0.2239,-7.95399717320302,-0.06208,0.04904,0.386773,3.636441,-2.439201,-0.289,-6.690203,0.002331,0.008503,-0.007818,-0.002286,8.3e-05,-0.000386,-0.0003005,-0.0002859,82.8321369080004
lhs30s2000:05,2.0,1,True,0.0014319,0.007588886400794903,0.2554,8.686386449676618,0.06592,-0.03682,0.38781,3.687628,-2.480168,-0.292838,-6.784481,0.002391,0.008638,-0.007941,-0.00234,0.000111,-0.000476,-0.0004111,-0.0002952,1.3274760729982518
