geom,angle,chord,span,ok,cd_ind,cd_total,span_efficiency,l_over_d,cl,cm,x_np,CLa,Cma,Clp,Cmq,Cnb,elevon_sym.CL,elevon_sym.Cm,elevon_diff.Cl,elevon_diff.Cn,elevon_diff.CY,hinge_moments.elevon_sym,hinge_moments.elevon_diff,seconds_avl
lhs30s2000:01,4.0,8,2,True,0.0040316,0.010539256612026985,0.7849,17.311467660043046,0.18245,-0.07492,0.286267,3.380946,-1.538059,-0.257233,-3.566206,0.004077,0.013547,-0.008568,-0.003019,6.5e-05,-0.000493,-0.0005606,-0.0004774,3.0045499120024033
lhs30s2000:01,4.0,8,4,True,0.0040327,0.010533439084920349,0.7814,17.268813967928832,0.1819,-0.07461,0.286073,3.372385,-1.533122,-0.255466,-3.557202,0.004063,0.013535,-0.008562,-0.003012,6.5e-05,-0.000492,-0.000558,-0.0004767,11.500409301999753
lhs30s2000:01,4.0,8,6,True,0.0040334,0.010560953269189714,0.7803,17.205833163765305,0.18171,-0.07449,0.286009,3.369571,-1.531501,-0.254877,-3.554276,0.004054,0.013532,-0.008561,-0.00301,6.4e-05,-0.000492,-0.0005572,-0.0004765,24.135716077002144
lhs30s2000:01,4.0,12,2,True,0.0041317,0.010643834054996616,0.7843,17.254120935283446,0.18365,-0.07549,0.286197,3.382118,-1.538217,-0.257219,-3.567018,0.004144,0.013757,-0.00864,-0.003061,6.3e-05,-0.000492,-0.0004752,-0.0004075,6.761336061001202
lhs30s2000:01,4.0,12,4,True,0.0041314,0.010636535494951445,0.7809,17.216132084259634,0.18312,-0.07519,0.286006,3.373427,-1.533237,-0.255442,-3.557803,0.004135,0.013743,-0.008633,-0.003054,6.3e-05,-0.000491,-0.0004733,-0.0004069,24.515159269001742
lhs30s2000:01,4.0,12,6,True,0.0041312,0.010663134232415506,0.7798,17.155368769896945,0.18293,-0.07508,0.285941,3.370553,-1.531586,-0.254848,-3.554791,0.00413,0.013739,-0.008631,-0.003052,6.3e-05,-0.000491,-0.0004725,-0.0004068,49.90642213400133
lhs30s2000:01,4.0,16,2,True,0.0042033,0.010719315976234293,0.7819,17.21844942431109,0.18457,-0.07591,0.286184,3.382739,-1.538428,-0.25721,-3.567827,0.004173,0.01396,-0.00875,-0.003105,6.2e-05,-0.000491,-0.0004922,-0.0004107,11.322485688000597
lhs30s2000:01,4.0,16,4,True,0.0042024,0.010711336145950231,0.7786,17.183663876480047,0.18406,-0.07561,0.285996,3.373957,-1.533424,-0.255427,-3.558495,0.004167,0.013945,-0.008743,-0.003098,6.2e-05,-0.00049,-0.0004902,-0.0004102,40.36209399499785
lhs30s2000:01,4.0,16,6,True,0.0042021,0.01073780436214149,0.7775,17.123612407046124,0.18387,-0.0755,0.285932,3.371052,-1.531762,-0.25483,-3.55544,0.004163,0.013941,-0.008741,-0.003095,6.2e-05,-0.00049,-0.0004896,-0.00041,83.58130497800084
lhs30s2000:02,-2.0,8,2,True,0.0032218,0.009732014090112756,0.6023,-16.308032287092708,-0.15871,0.08549,0.308324,3.938475,-1.85555,-0.319422,-4.543151,0.002073,0.01353,-0.009019,-0.003412,-3e-06,-0.000386,-0.0003149,-0.0005655,3.008906555001886
