"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          38,      -11.32673242,      -9.681287176,      -10.29611407,      -10.97999776,      -12.47951132,      -5.457329493,      -3.432980139,   9.949889551e-05,       6.460275046,                40,                40,                40,    0.001789260784,     0.01075300598,      0.6049965559,                 0,                 0,                 0,       0.078118115,    -0.01036761977,      0.6050032828,                 0,       56.26301677,    0.002390236486
          0,           0,          39,      -11.32665375,      -9.681289119,      -10.29602576,       -10.9799225,      -12.47951055,      -5.457367115,       -3.43290743,   9.949889604e-05,       6.460275047,                40,                40,                40,    0.001789260784,     0.01075259479,      0.6049909068,                 0,                 0,                 0,     0.07811735653,    -0.01036783355,      0.6049976228,                 0,       56.26464295,    0.002390236486
          0,           0,          40,       -11.3265759,      -9.681291025,      -10.29593751,       -10.9798482,       -12.4795097,        -5.4574047,      -3.432835333,   9.949889657e-05,       6.460275048,                40,                40,                40,    0.001789260784,     0.01075218392,      0.6049852562,                 0,                 0,                 0,       0.078116598,    -0.01036804697,      0.6049919613,                 0,       56.26626745,    0.002390236486
          0,           0,          41,      -11.32649848,      -9.681292895,      -10.29584932,      -10.97977446,      -12.47950877,      -5.457442248,      -3.432763826,   9.949889711e-05,       6.460275049,                40,                40,                40,    0.001789260784,     0.01075177336,      0.6049796041,                 0,                 0,                 0,     0.07811583939,    -0.01036826003,      0.6049862984,                 0,       56.26789031,    0.002390236486
          0,           0,          42,       -11.3264216,      -9.681294729,      -10.29576117,      -10.97970153,      -12.47950776,       -5.45747976,      -3.432692812,   9.949889764e-05,        6.46027505,                40,                40,                40,    0.001789260784,     0.01075136311,      0.6049739505,                 0,                 0,                 0,      0.0781150807,    -0.01036847272,      0.6049806339,                 0,       56.26951153,    0.002390236486
          0,           0,          43,      -11.32634496,      -9.681296528,      -10.29567308,      -10.97962919,      -12.47950667,      -5.457517234,      -3.432622359,   9.949889817e-05,       6.460275051,                40,                40,                40,    0.001789260784,     0.01075095317,      0.6049682954,                 0,                 0,                 0,     0.07811432191,    -0.01036868505,      0.6049749679,                 0,        56.2711311,    0.002390236486
          0,           0,          44,      -11.32626948,      -9.681298292,      -10.29558498,      -10.97955853,       -12.4795055,      -5.457554671,        -3.4325524,    9.94988987e-05,       6.460275052,                40,                40,                40,    0.001789260784,     0.01075054354,      0.6049626387,                 0,                 0,                 0,     0.07811356301,    -0.01036889701,      0.6049693004,                 0,       56.27274903,    0.002390236486
          0,           0,          45,      -11.32619135,      -9.681300021,      -10.29549698,      -10.97948503,      -12.47950425,      -5.457592072,      -3.432482941,   9.949889923e-05,       6.460275054,                40,                40,                40,    0.001789260784,     0.01075013423,      0.6049569805,                 0,                 0,                 0,     0.07811280401,    -0.01036910861,      0.6049636313,                 0,       56.27436531,    0.002390236486
          0,           0,          46,      -11.32611279,      -9.681301716,      -10.29540902,      -10.97941175,      -12.47950291,      -5.457629436,      -3.432413955,   9.949889976e-05,       6.460275055,                40,                40,                40,    0.001789260784,     0.01074972522,      0.6049513207,                 0,                 0,                 0,     0.07811204488,    -0.01036931984,      0.6049579607,                 0,       56.27597992,    0.002390236486
          0,           0,          47,      -11.32603353,      -9.681303377,      -10.29532106,       -10.9793382,       -12.4795015,      -5.457666763,      -3.432345426,   9.949890029e-05,       6.460275056,                40,                40,                40,    0.001789260784,     0.01074931653,      0.6049456593,                 0,                 0,                 0,     0.07811128564,     -0.0103695307,      0.6049522885,                 0,       56.27759285,    0.002390236486
