case,kind,policy,placement_n_sections,ramp_fraction,max_gap_ratio,sections_in_band,solver_n_strips,solver_n_vortices,worst_all_error,worst_control_error,err_CL,err_CDind,err_CDtotal,err_Cm,err_e,err_Xnp,err_CLa,err_Cma,err_Clp,err_Cmq,err_Cnb,err_CL_de,err_Cm_de,err_Cl_da,err_Cn_da,err_CY_da
elevon_wide,constructed,proposed_sqrt_sum_w3_gap15,25,0.141459887352314,1.5463579395708187,13,192,4608,0.004310344827586195,0.004310344827586195,0.0008444000921163659,0.0040658029321513365,0.0008096224863986749,0.00017401896806757265,0.0,3.8798094715058574e-05,0.00047122025469770775,0.00013774515866274236,0.0011930743489013459,0.00045307522061879184,0.0004294610264117239,0.0008120178643930071,0.0004957858205254554,0.0010601643254703587,0.004310344827586195,0.0009881422924902497
max_gradient,constructed,uniform_pinned25,25,0.2299571712540133,1.3199999999999998,10,192,4608,0.01851851851851847,0.01851851851851847,0.0012806049333779796,0.001935367093190114,0.0020321932010859897,0.0006930006930006866,0.001212254793916674,6.920894179525769e-05,0.0005124486466197718,0.0001426058624231307,5.997680896725933e-05,0.0006389828040830746,0.00043084877208093223,0.0030403800475058474,0.0020026702269693264,0.00142045454545458,0.01851851851851847,0.0025906735751295967
max_gradient,constructed,current_sum_sqrt_w3,25,0.13375301421097355,1.8977078448899505,11,192,4608,0.006344696969696908,0.006344696969696908,0.005767187737137692,0.0022826601341759617,0.0004947690732565759,0.003893494096960448,0.003299241174529861,0.00031967939781633837,0.0024293988607589244,0.0002290193485935571,0.00019660244320180657,0.0026058770241195977,0.0015797788309636258,0.006344696969696908,0.0029345071361878508,0.0035435861091424616,0.0,0.0025906735751295967
max_gradient,constructed,proposed_sqrt_sum_w3,25,0.12606905347751649,1.8863513974395865,11,192,4608,0.006250591912112897,0.006250591912112897,0.005555892889671499,0.0017129726342177674,0.00040905262600257977,0.003956043956043904,0.0029702970297030094,0.0002504704560210807,0.0023068488765485198,0.00017282697234064312,2.66579584000976e-05,0.002428943494508055,0.000861697544161989,0.006250591912112897,0.003067484662576747,0.0038965639390719656,0.0,0.0025906735751295967
max_gradient,constructed,proposed_max_channel_w3,25,0.10396334163670175,2.026828267204475,11,192,4608,0.00981409832971595,0.00981409832971595,0.006340249969663817,0.0035032112770039753,0.0017553612377102657,0.004518639387473317,0.005268356931182117,0.0003691143562414963,0.002691432739531531,0.00011096813797824798,0.0,0.0026709885630166064,0.0015797788309636258,0.00981409832971595,0.006116207951070341,0.006360424028268629,0.0,0.006451612903225824
max_gradient,constructed,proposed_sqrt_sum_w3_no_thickness,25,0.10835394840695416,1.8953038787517595,11,192,4608,0.008972421609369058,0.008972421609369058,0.005646458820315027,0.0011843883679129258,0.00022965087021513525,0.0043936731107204275,0.003737495877761854,0.00012193956411552372,0.0021443347323851043,0.00021815863721691176,3.3322336963094032e-06,0.002513871588721459,0.0018670113456843304,0.008972421609369058,0.005587335373154233,0.005657708628005642,0.0,0.005167958656330735
max_gradient,constructed,proposed_max_channel_w3_no_thickness,25,0.09006050469656965,1.9523421307864424,11,192,4608,0.012330572289156549,0.012330572289156549,0.005435112649541549,0.00203263351339311,0.0010479142012522937,0.0035180299032540347,0.005486667398222325,0.00018785284201585625,0.0026129132696245975,2.5970591846243835e-05,7.66357569115482e-05,0.002472823009851578,0.00215424386040491,0.012330572289156549,0.008489189547685346,0.008112874779541453,0.0,0.007731958762886646
max_gradient,constructed,proposed_sqrt_sum_w1,25,0.12716190129751162,1.8620219788987757,10,192,4608,0.018181818181818254,0.018181818181818254,0.004377032736557333,0.001253970907874983,0.00020889611955684148,0.002766251728907305,0.003737495877761854,0.0003229750617112635,0.0018158386211355637,0.00025687943429864593,0.00010996407840088818,0.0019571881521264814,0.0,0.008878813639368906,0.006116207951070341,0.006360424028268629,0.018181818181818254,0.006451612903225824
max_gradient,constructed,proposed_sqrt_sum_w0,25,0.20261460927563224,1.7601670364543436,8,192,4608,0.018181818181818254,0.018181818181818254,0.002618677872171895,0.002712967986977812,0.0016368652026054935,0.0018877422602566996,0.004503514938488568,3.954796674019952e-05,0.0006530439686487989,0.0006011167644523522,0.00023653341950715512,0.0018306048497985497,0.001863532110091866,0.011493170042392732,0.009014980776879272,0.008812125484667001,0.018181818181818254,0.009009009009009089
max_gradient,constructed,proposed_sqrt_sum_w3_gap15,25,0.23677261082864903,1.4441373610596129,9,192,4608,0.01851851851851847,0.01851851851851847,0.001493720278014847,0.008300821781356377,0.00478720521739794,0.0015107641948885195,0.00220191566662997,0.0001548722139477891,0.0002130549551499453,0.0008315527275732796,0.00043966292509083364,0.0015353786175323861,0.0022978601177652625,0.011865524060645952,0.010064892067275929,0.0077628793225124615,0.01851851851851847,0.010282776349614506
