policy,geometry_index,attempts,seconds,accepted_template,accepted_quality,reached_preferred,succeeded,stopped_early
learned ranking (design only),46,1,20.01729569500094,88,0.21482466176226298,True,True,False
learned ranking (design only),47,1,18.655309006000607,47,0.2133493043635396,True,True,False
learned ranking (design only),48,1,25.14534944099978,24,0.2175726816599492,True,True,False
learned ranking (design only),49,1,19.989840229000038,42,0.18206014502305118,True,True,False
learned ranking (design only),50,1,20.0930274930015,88,0.21372937732003458,True,True,False
learned ranking (design only),51,1,25.075836152998818,24,0.2254465526340172,True,True,False
learned ranking (design only),52,1,23.554031433999626,81,0.2340263365090765,True,True,False
learned ranking (design only),53,1,20.077986893000343,42,0.22004312987922162,True,True,False
learned ranking (design only),54,2,49.76548820099924,24,0.17835233836783343,True,True,False
learned ranking (design only),55,1,18.857580629999575,47,0.22770241887097045,True,True,False
learned ranking (design only),56,1,24.53208119900046,56,0.23505308165180194,True,True,False
learned ranking (design only),57,1,19.979252201001145,42,0.17452360469164255,True,True,False
learned ranking (design only),58,1,16.406057796000823,65,0.2001750678174796,True,True,False
learned ranking (design only),59,1,20.05062573199939,42,0.2037579278806228,True,True,False
learned ranking (design only),60,1,23.846345343001303,81,0.223468487966965,True,True,False
learned ranking (design only),61,1,19.968350782000925,42,0.23799424068665115,True,True,False
learned ranking (design only),62,1,18.736471801001244,47,0.2397181631915261,True,True,False
learned ranking (design only),63,1,17.376894143000754,16,0.2176103185730569,True,True,False
learned ranking (design only),64,2,50.50283209599911,70,0.23715557587280633,True,True,False
learned ranking (design only),65,1,16.321516492000228,65,0.20192194042049696,True,True,False
learned ranking (design only),66,1,25.605867398000555,92,0.19574152412668952,True,True,False
learned ranking (design only),67,1,23.71511008000016,81,0.2327901439393763,True,True,False
learned ranking (design only),68,1,19.726243098999475,85,0.19140934181036565,True,True,False
learned ranking (design only),69,1,25.382087419999152,70,0.20160045250557326,True,True,False
learned ranking (design only),70,1,25.602855690998695,70,0.23697914107206194,True,True,False
learned ranking (design only),71,1,20.2390599320006,43,0.1877199812999176,True,True,False
learned ranking (design only),72,1,25.31963474100121,70,0.15537630902637492,True,True,False
