campaign,config_key,eps_e,first_cell_fraction,normal_points,volume_level,preferred_quality,geometry_id,geometry_index,template_index,attempt_ordinal,n_attempts_for_geometry,state,outcome,selected,min_scaled_quality,surface_min_scaled_jacobian,inverted_cells,min_volume,distance_rms,elapsed_s,wall_error_m,interface_max_mismatch_m,is_identity,row_state,accepted_template_index,accepted_min_scaled_quality
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_012,12,90,2,3,PASS,PASS,False,0.13796656233419458,0.2338836097740444,0.0,6.333561076374927e-12,0.3616014528711878,11.901852242001041,3.469446951953614e-18,3.552713678800501e-15,False,PASS,68.0,0.16240170374886362
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_013,13,2,1,1,PASS,PASS,True,0.17164621766216775,0.24256375509404818,0.0,6.2786125164803025e-12,0.32590350311708693,11.51589954299925,1.734723475976807e-18,3.552713678800501e-15,False,PASS,2.0,0.17164621766216775
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_014,14,42,1,1,PASS,PASS,True,0.15892026675639268,0.23348324324334757,0.0,5.7319980086775324e-12,0.34165033336514605,12.448912490999646,3.469446951953614e-18,3.552713678800501e-15,False,PASS,42.0,0.15892026675639268
development_atlas_qualified21_production_written_v3,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_014,14,85,1,1,PASS,PASS,True,0.21740407651408666,0.23348324324334757,0.0,7.056080385364855e-12,0.2790598756046455,19.93785676599873,1.734723475976807e-18,3.552713678800501e-15,False,PASS,85.0,0.21740407651408666
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_015,15,43,1,1,PASS,PASS,True,0.22427206226025667,0.24429958037755842,0.0,5.526068578997077e-12,0.33035007342656386,12.381369763999828,1.734723475976807e-18,3.552713678800501e-15,False,PASS,43.0,0.22427206226025667
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_016,16,16,1,1,PASS,PASS,True,0.22061175480861958,0.23194747150513845,0.0,6.058348876288267e-12,0.0,10.386462606998975,1.734723475976807e-18,3.552713678800501e-15,True,PASS,16.0,0.22061175480861958
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_017,17,56,1,1,PASS,PASS,True,0.23448174702235605,0.2417570320015177,0.0,6.353567294264454e-12,0.28838883797679005,15.37657625599968,1.734723475976807e-18,3.552713678800501e-15,False,PASS,56.0,0.23448174702235605
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_018,18,2,1,1,PASS,PASS,True,0.19539841780699382,0.24292665465613103,0.0,5.773605479465649e-12,0.28861733269855205,11.686843341001804,1.734723475976807e-18,3.552713678800501e-15,False,PASS,2.0,0.19539841780699382
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_019,19,42,1,1,PASS,PASS,True,0.22278313346714682,0.22852604993501582,0.0,4.498587017058954e-12,0.3108740452317045,12.267742795000231,1.734723475976807e-18,3.552713678800501e-15,False,PASS,42.0,0.22278313346714682
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_020,20,88,1,1,PASS,PASS,True,0.1870934153408419,0.2424669884447435,0.0,5.074564804866048e-12,0.30783038170092,12.359632157000306,3.469446951953614e-18,3.552713678800501e-15,False,PASS,88.0,0.1870934153408419
