"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,        1857,       -6.77745676,       -3.62337617,      -3.973360006,      -1.353352189,      -7.221392559,       2884.257161,     0.01505510457,        1.10192144,                 0,                 0,                 0,   -0.003405789247,     -0.1765202663,       1.087795069,                 0,       73.19254644,     0.03438518899
          0,           0,        1858,      -6.825055971,      -3.623402069,      -3.976094929,      -1.418132862,      -7.221400088,       2884.257161,     0.01505511413,        1.10192163,                 0,                 0,                 0,   -0.003405491379,     -0.1765202899,       1.087795258,                 0,       73.19251259,     0.03438518899
          0,           0,        1859,      -6.810498158,      -3.623404383,      -3.972861007,      -1.398032234,      -7.221407613,       2884.257161,       0.015055115,       1.101921563,                 0,                 0,                 0,   -0.003405384412,     -0.1765202774,       1.087795192,                 0,        73.1925039,     0.03438518899
          0,           0,        1860,      -6.773616274,      -3.623402805,      -3.968666462,      -1.348597235,      -7.221415134,       2884.257161,     0.01505510443,       1.101921165,                 0,                 0,                 0,    -0.00340552158,     -0.1765202187,       1.087794798,                 0,       73.19252888,     0.03438518899
          0,           0,        1861,      -6.727220679,      -3.623395983,      -3.963242068,      -1.289925313,      -7.221422652,       2884.257161,     0.01505508564,       1.101920536,                 0,                 0,                 0,   -0.003405828322,     -0.1765201279,       1.087794175,                 0,       73.19257841,     0.03438518899
          0,           0,        1862,      -6.717752515,      -3.623415762,      -3.964217292,      -1.278287293,      -7.221430165,       2884.257161,     0.01505506659,       1.101919905,                 0,                 0,                 0,   -0.003406135169,     -0.1765200371,        1.08779355,                 0,       73.19262908,     0.03438518899
          0,           0,        1863,      -6.778375984,      -3.623468779,      -3.973468628,      -1.354545789,      -7.221437675,       2884.257161,     0.01505506608,       1.101919809,                 0,                 0,                 0,   -0.003406047104,      -0.176520021,       1.087793456,                 0,        73.1926252,     0.03438518899
          0,           0,        1864,      -6.826884118,      -3.623495213,      -3.976342632,      -1.420705686,      -7.221445182,       2884.257161,     0.01505507603,       1.101920008,                 0,                 0,                 0,   -0.003405742666,     -0.1765200458,       1.087793654,                 0,        73.1925901,     0.03438518899
          0,           0,        1865,      -6.810766339,      -3.623496776,      -3.972913565,      -1.398392809,      -7.221452684,       2884.257161,     0.01505507674,       1.101919935,                 0,                 0,                 0,   -0.003405640707,     -0.1765200323,       1.087793582,                 0,       73.19258175,     0.03438518899
          0,           0,        1866,      -6.773352248,      -3.623495142,      -3.968695176,      -1.348240703,      -7.221460182,       2884.257161,     0.01505506589,       1.101919527,                 0,                 0,                 0,    -0.00340578523,     -0.1765199722,       1.087793178,                 0,       73.19260738,     0.03438518899
          0,           0,        1867,      -6.727882199,      -3.623488849,      -3.963388338,      -1.290731703,      -7.221467677,       2884.257161,     0.01505504718,       1.101918898,                 0,                 0,                 0,   -0.003406091949,     -0.1765198814,       1.087792555,                 0,       73.19265658,     0.03438518899
          0,           0,        1868,      -6.719254859,      -3.623509291,      -3.964517023,      -1.280108731,      -7.221475168,       2884.257161,     0.01505502824,       1.101918268,                 0,                 0,                 0,   -0.003406398161,     -0.1765197906,       1.087791932,                 0,       73.19270681,     0.03438518899
          0,           0,        1869,      -6.780096084,      -3.623562104,      -3.973723143,      -1.356789034,      -7.221482654,       2884.257161,     0.01505502794,       1.101918176,                 0,                 0,                 0,   -0.003406307131,      -0.176519775,       1.087791841,                 0,       73.19270219,     0.03438518899
          0,           0,        1870,      -6.828971758,      -3.623588519,      -3.976593751,      -1.423658013,      -7.221490137,       2884.257161,     0.01505503829,       1.101918386,                 0,                 0,                 0,   -0.003405995369,     -0.1765198012,        1.08779205,                 0,       73.19266579,     0.03438518899
