# NACA 4412, alpha=13.87, Re=1.52 million, 897x257 grid, CFL3D with SA model
#    x = x/c
#    y = y/c
#    uv = (u'v'/Uinf^2)/(0.93^2)
#    (0.93^2 needed to put normalization in terms of experimental ref location below and behind airfoil)
VARIABLES = "x","y","uv"
ZONE T="x=.6753"
 7.310787439E-01 6.298670173E-02 -1.589179737E-03
 7.310929894E-01 6.306780130E-02 -1.645482844E-03
 7.311079502E-01 6.315304339E-02 -1.703714719E-03
 7.311236858E-01 6.324263662E-02 -1.764022629E-03
 7.311402559E-01 6.333681196E-02 -1.826498308E-03
 7.311576605E-01 6.343580037E-02 -1.891189837E-03
 7.311758995E-01 6.353984028E-02 -1.958141336E-03
 7.311951518E-01 6.364920735E-02 -2.027451061E-03
 7.312153578E-01 6.376415491E-02 -2.099020407E-03
 7.312365770E-01 6.388497353E-02 -2.172840293E-03
 7.312588692E-01 6.401196867E-02 -2.249078127E-03
 7.312823534E-01 6.414546072E-02 -2.327798167E-03
 7.313069701E-01 6.428576261E-02 -2.409012290E-03
 7.313328981E-01 6.443323940E-02 -2.492771251E-03
 7.313601375E-01 6.458825618E-02 -2.579098335E-03
 7.313887477E-01 6.475118548E-02 -2.667802852E-03
 7.314188480E-01 6.492244452E-02 -2.758868504E-03
 7.314504981E-01 6.510245800E-02 -2.852487378E-03
 7.314836979E-01 6.529167295E-02 -2.948646434E-03
 7.315186858E-01 6.549055129E-02 -3.047335893E-03
 7.315554023E-01 6.569959223E-02 -3.148504300E-03
 7.315939665E-01 6.591931731E-02 -3.252097405E-03
 7.316345572E-01 6.615027785E-02 -3.357715905E-03
 7.316772342E-01 6.639303267E-02 -3.465285292E-03
 7.317220569E-01 6.664819270E-02 -3.574978327E-03
 7.317692041E-01 6.691639870E-02 -3.686655778E-03
 7.318187356E-01 6.719830632E-02 -3.800124861E-03
 7.318707705E-01 6.749462336E-02 -3.915105015E-03
 7.319254875E-01 6.780607998E-02 -4.031387158E-03
 7.319830060E-01 6.813345850E-02 -4.148017149E-03
 7.320435047E-01 6.847756356E-02 -4.264792893E-03
 7.321070433E-01 6.883925200E-02 -4.381687846E-03
 7.321738005E-01 6.921942532E-02 -4.498296417E-03
 7.322440147E-01 6.961902976E-02 -4.613918718E-03
 7.323178053E-01 7.003905624E-02 -4.727727734E-03
 7.323954105E-01 7.048054785E-02 -4.839143250E-03
 7.324769497E-01 7.094459981E-02 -4.945926368E-03
 7.325626612E-01 7.143236697E-02 -5.047519691E-03
 7.326527238E-01 7.194506377E-02 -5.143280607E-03
 7.327473760E-01 7.248395681E-02 -5.232251249E-03
 7.328469157E-01 7.305039465E-02 -5.312247202E-03
 7.329515219E-01 7.364577800E-02 -5.381722469E-03
 7.330614924E-01 7.427158952E-02 -5.438873544E-03
 7.331770658E-01 7.492938638E-02 -5.478606094E-03
 7.332985401E-01 7.562079281E-02 -5.499655381E-03
 7.334262133E-01 7.634753734E-02 -5.500105210E-03
 7.335604429E-01 7.711142302E-02 -5.476272665E-03
 7.337015271E-01 7.791434973E-02 -5.425529554E-03
 7.338498235E-01 7.875830680E-02 -5.343904253E-03
 7.340056896E-01 7.964538783E-02 -5.227409303E-03
 7.341694832E-01 8.057781309E-02 -5.065969191E-03
 7.343416810E-01 8.155788481E-02 -4.858548287E-03
 7.345227003E-01 8.258804679E-02 -4.601475783E-03
 7.347129583E-01 8.367084712E-02 -4.290769342E-03
 7.349129319E-01 8.480899036E-02 -3.924766555E-03
 7.351230979E-01 8.600530028E-02 -3.503096988E-03
 7.353440523E-01 8.726274222E-02 -3.025433747E-03
 7.355762720E-01 8.858445287E-02 -2.494670451E-03
 7.358203530E-01 8.997370303E-02 -1.933976193E-03
 7.360768914E-01 9.143395722E-02 -1.378941117E-03
 7.363466024E-01 9.296883643E-02 -8.766205865E-04
 7.366300821E-01 9.458214790E-02 -4.733779060E-04
 7.369279861E-01 9.627791494E-02 -2.014370693E-04
 7.372411489E-01 9.806034714E-02 -6.228015991E-05
 7.375703454E-01 9.993386269E-02 -2.028889685E-05
 7.379163504E-01 1.019031331E-01 -6.086163921E-06
 7.382800579E-01 1.039730385E-01 -2.213849257E-06
 7.386623025E-01 1.061487272E-01 -1.119284775E-06
 7.390640974E-01 1.084356010E-01 -5.109648669E-07
 7.394864559E-01 1.108393520E-01 -2.393904879E-07
 7.399303913E-01 1.133659482E-01 -1.384870814E-07
 7.403969765E-01 1.160216630E-01 -1.041722584E-07
 7.408874035E-01 1.188130975E-01 -8.752446945E-08
 7.414029241E-01 1.217471883E-01 -7.928403534E-08
 7.419447899E-01 1.248312294E-01 -7.474633179E-08
 7.425143719E-01 1.280728728E-01 -7.160728188E-08
 7.431130409E-01 1.314801872E-01 -6.898807214E-08
 7.437422872E-01 1.350616366E-01 -6.651895745E-08
 7.444037199E-01 1.388261169E-01 -6.409489117E-08
 7.450989485E-01 1.427829713E-01 -6.162376565E-08
 7.458297014E-01 1.469420493E-01 -5.909607736E-08
 7.465977669E-01 1.513136774E-01 -5.650657187E-08
 7.474051118E-01 1.559087187E-01 -5.386302604E-08
 7.482537627E-01 1.607385874E-01 -5.116473645E-08
 7.491457462E-01 1.658152938E-01 -4.841223245E-08
 7.500832677E-01 1.711514294E-01 -4.563608158E-08
 7.510687709E-01 1.767602861E-01 -4.283378630E-08
 7.521045804E-01 1.826557815E-01 -3.998839659E-08
 7.531933784E-01 1.888525635E-01 -3.711300778E-08
 7.543377876E-01 1.953660399E-01 -3.422545092E-08
 7.555406690E-01 2.022123784E-01 -3.133383331E-08
 7.568050623E-01 2.094085962E-01 -2.844027591E-08
 7.581340671E-01 2.169725895E-01 -2.559273860E-08
 7.595309615E-01 2.249231488E-01 -2.275672806E-08
 7.609992623E-01 2.332800031E-01 -1.994268750E-08
 7.625426054E-01 2.420639545E-01 -1.716735731E-08
 7.641648054E-01 2.512967885E-01 -1.443680908E-08
 7.658699155E-01 2.610014975E-01 -1.175131104E-08
 7.676621675E-01 2.712021470E-01 -9.121333022E-09
 7.695460320E-01 2.819240987E-01 -6.601878599E-09
 7.715261579E-01 2.931939960E-01 -4.160121581E-09
 7.736074924E-01 3.050398827E-01 -1.797101801E-09
 7.757951617E-01 3.174911141E-01 4.828565880E-10
 7.780946493E-01 3.305786848E-01 2.662657872E-09
 7.805116773E-01 3.443350792E-01 4.752631622E-09
ZONE T="x=.7863"
 7.863000035E-01 5.103440955E-02 -2.157991345E-15
 7.863003612E-01 5.103637278E-02 -4.338875450E-14
 7.863007784E-01 5.103834346E-02 -1.096832586E-13
 7.863011360E-01 5.104032159E-02 -4.761873404E-13
 7.863014936E-01 5.104231462E-02 -9.620746040E-13
 7.863019109E-01 5.104433000E-02 -2.465122941E-12
 7.863022685E-01 5.104636773E-02 -4.421388169E-12
 7.863026857E-01 5.104843527E-02 -8.782938786E-12
 7.863031030E-01 5.105053633E-02 -1.470570540E-11
 7.863035202E-01 5.105267838E-02 -2.513421936E-11
 7.863039374E-01 5.105486885E-02 -4.008849155E-11
 7.863043547E-01 5.105710775E-02 -6.227240945E-11
 7.863047719E-01 5.105940253E-02 -9.615021973E-11
 7.863052487E-01 5.106176063E-02 -1.401142119E-10
 7.863057256E-01 5.106418580E-02 -2.157145296E-10
 7.863062024E-01 5.106668547E-02 -3.043126862E-10
 7.863066792E-01 5.106926337E-02 -4.455837088E-10
 7.863072157E-01 5.107193068E-02 -6.294111898E-10
